Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,RequestTime_Hour,TimeOfDay,TravelTimeInMinutes
619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,11,Morning,69.0
867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,17,Evening,50.0
1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,9,Morning,41.0
2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,21,Night,55.0
3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Morning,53.0
3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Night,32.0
4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Morning,58.0
5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Morning,56.0
6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Evening,53.0
267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,6,Morning,39.0
1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,5,Morning,54.0
1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,12,AfternNoon,27.0
2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Early Morning,34.0
3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Morning,73.0
3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,AfternNoon,72.0
3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Evening,58.0
4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,AfternNoon,36.0
5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Night,55.0
535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,10,Morning,31.0
960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,18,Evening,38.0
1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,11,Morning,66.0
2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,15,AfternNoon,54.0
2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,18,Evening,28.0
3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Morning,65.0
3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Night,57.0
5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Night,62.0
5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Early Morning,43.0
5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Morning,52.0
669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,13,AfternNoon,41.0
1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,6,Morning,49.0
1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,9,Morning,60.0
2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,16,Evening,52.0
2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Morning,36.0
3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Evening,34.0
4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Early Morning,64.0
4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,AfternNoon,44.0
5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,Morning,67.0
6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,AfternNoon,46.0
312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,7,Morning,64.0
577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,11,Morning,58.0
1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,20,Night,47.0
1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,8,Morning,43.0
2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,14,AfternNoon,62.0
2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,21,Night,57.0
3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,Morning,62.0
3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,AfternNoon,32.0
4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,Morning,67.0
5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,Morning,58.0
6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,Night,69.0
1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,5,Morning,43.0
1999,Airport,6.0,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,13,AfternNoon,49.0
2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,Morning,50.0
3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,Night,52.0
4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,Early Morning,53.0
4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,AfternNoon,48.0
5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,Night,52.0
6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,Early Morning,64.0
5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,Morning,46.0
6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,AfternNoon,65.0
1039,City,7.0,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,19,Evening,70.0
1273,Airport,7.0,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,22,Night,65.0
2480,City,7.0,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,20,Night,49.0
4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,Early Morning,59.0
4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,Morning,66.0
